Начало мониторинга ресурсов с интервалом 2000ms
Мониторинг продлится 180 секунд
Контейнеры для мониторинга: backend, postgres, redis
Метрики будут сохранены в: /home/eugene/fullStack/stress/stress-test-metrics.json
CSV-отчет будет сохранен в: /home/eugene/fullStack/stress/stress-test-metrics.csv
- backend: CPU: 197.33%, Memory: 49.48%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.36%, Memory: 3.45%
[2025-04-20T10:44:25.301Z] CPU: 4.77%, Memory: 52.87%
- backend: CPU: 230.36%, Memory: 50.93%
- postgres: CPU: 0.01%, Memory: 3.98%
- redis: CPU: 0.36%, Memory: 3.45%
[2025-04-20T10:44:27.309Z] CPU: 4.77%, Memory: 52.67%
- backend: CPU: 234.92%, Memory: 46.74%
- postgres: CPU: 0.00%, Memory: 3.98%
- redis: CPU: 0.35%, Memory: 3.45%
[2025-04-20T10:44:29.317Z] CPU: 4.77%, Memory: 52.90%
- backend: CPU: 208.12%, Memory: 48.94%
- postgres: CPU: 0.38%, Memory: 3.98%
- redis: CPU: 0.40%, Memory: 3.45%
Мониторинг завершен. Метрики сохранены в файл /home/eugene/fullStack/stress/stress-test-metrics.json
CSV отчет сохранен в файл /home/eugene/fullStack/stress/stress-test-metrics.csv
